tsne_x,tsne_y,density_3,density_2,density_1_5,density_1,density_0_7,density_0_5,image_filename,image_width,image_height,u_min,v_min,u_max,v_max
-6.9529896,5.754351,0.00018521303802119916,0.00019271953636824547,0.0001940419124786308,0.00019869432130645705,0.00023763749210743167,0.000337049471788511,aaron-douglas-let-my-people-go.jpg,49,64,0.0,0.9939759036144579,0.011962890625,1.0
-38.608192,19.742256,0.00018803798180228707,0.00021276473283348581,0.00022276464263934592,0.00022909534033176086,0.0002330291946844082,0.0002530390818014289,aaron-douglas-untitled-4.png,45,64,0.011962890625,0.9939759036144579,0.02294921875,1.0
-6.70107,4.139859,0.00018292424197932357,0.00018970917231068662,0.000193132556990442,0.00019900341401086542,0.0002122485386202335,0.00023753780043013774,aaron-douglas-untitled-5.png,50,64,0.02294921875,0.9939759036144579,0.03515625,1.0
-10.650127,5.160716,0.00015600567196783055,0.0001594598359129246,0.00016300457278345685,0.00015854714861041633,0.00015329303717767225,0.0001915094076879745,aaron-douglas-untitled-6.png,48,64,0.03515625,0.9939759036144579,0.046875,1.0
-10.094052,3.5872107,0.0001580594134939882,0.00016561638324581534,0.00017542212283878605,0.00019794686972701247,0.00022071305306114458,0.0002420855894687341,aaron-douglas-untitled-7.png,64,64,0.046875,0.9939759036144579,0.0625,1.0
-10.665578,3.233365,0.00015263454200067342,0.0001578208826194571,0.00016570491331065873,0.00019278245640325293,0.00026730161510575155,0.0004202994553741224,aaron-douglas-untitled-8.png,69,64,0.0625,0.9939759036144579,0.079345703125,1.0
-10.808229,3.5246005,0.00015218127415451,0.00015733152915677368,0.00016563052939109837,0.0001938886166230327,0.0002669141951869846,0.0004161235554358809,aaron-douglas-untitled-9.png,41,64,0.079345703125,0.9939759036144579,0.08935546875,1.0
-10.80504,3.256899,0.00015159771741252384,0.00015629442431806904,0.00016383313344947646,0.00019132632363314574,0.0002701328437063536,0.00043084462971435634,aaron-douglas-untitled2-1.png,53,64,0.08935546875,0.9939759036144579,0.102294921875,1.0
-10.8851,5.2025037,0.00015398172339777013,0.00015643475434849467,0.00015899428143965855,0.0001539686986773128,0.00015801074221005642,0.00021613082427585152,aaron-douglas-untitled2-2.png,47,64,0.102294921875,0.9939759036144579,0.11376953125,1.0
-10.819,3.437691,0.00015190410923016817,0.00015688796291127237,0.0001649598226385018,0.0001934297562884423,0.0002706327307387975,0.00043088387377960066,aaron-douglas-untitled2-3.png,47,64,0.11376953125,0.9939759036144579,0.125244140625,1.0
-35.794827,-10.871632,6.787890786850782e-05,6.59500163097002e-05,6.971115633530184e-05,9.058893140143236e-05,0.00014067184402770041,0.00022616341663877105,aaron-douglas-untitled2-4.png,149,64,0.125244140625,0.9939759036144579,0.16162109375,1.0
-33.34046,12.004741,0.00012075333639030049,0.00011235450080225233,0.000110790148530557,0.00012193945509311365,0.00015241624170502134,0.00019659372990953362,aaron-douglas-untitled2-5.png,46,64,0.16162109375,0.9939759036144579,0.1728515625,1.0
-28.189598,12.3026285,0.00010642549484344752,9.467265903931163e-05,8.001085323582039e-05,5.607361504970118e-05,4.7564579316915064e-05,6.697592730513422e-05,aaron-douglas-untitled2.png,44,64,0.1728515625,0.9939759036144579,0.18359375,1.0
-10.528161,3.367834,0.00015404827274912886,0.00016000581126508393,0.0001687166823435475,0.00019615945689096078,0.0002637686660325986,0.00040699913635573677,aaron-douglas-untitled3-1.png,42,64,0.18359375,0.9939759036144579,0.19384765625,1.0
-35.81478,-10.771342,6.849783365980924e-05,6.63523290990558e-05,7.015362387936933e-05,9.236617592919432e-05,0.00014655691424650361,0.00023567531595665892,aaron-douglas-untitled3-2.png,156,64,0.19384765625,0.9939759036144579,0.23193359375,1.0
-8.797166,4.0978694,0.00016951761947511096,0.00017823083039121497,0.00018641556060159197,0.00020581374567234915,0.00026014701807645213,0.00036653928949443107,aaron-douglas-untitled3.png,64,64,0.23193359375,0.9939759036144579,0.24755859375,1.0
-10.727768,3.528036,0.00015283007139469334,0.00015829677943160692,0.00016686246817959962,0.00019518374857243573,0.00026707769476924024,0.0004177513473873688,aaron-douglas-untitled4.png,48,64,0.24755859375,0.9939759036144579,0.25927734375,1.0
-1.5549037,7.9255233,0.00019342056429787235,0.0001917244431173469,0.00018442951826007977,0.00016491312955490932,0.00015028437614961464,0.0001450754866994733,aaron-shikler-8427197235-ec6870a000-o.png,83,64,0.25927734375,0.9939759036144579,0.279541015625,1.0
-0.5096692,-7.274582,0.0001717911278752179,0.0001619969104589545,0.00015920575353095702,0.0001660325700630721,0.00019292685371576456,0.00023985877317975616,aaron-shikler-aaron-shikler-tutt-art-49.jpg,64,64,0.279541015625,0.9939759036144579,0.295166015625,1.0
5.096502,25.345318,0.00015419205489641043,0.00015498508814442246,0.00015506427310101948,0.00015930451474898815,0.0001605264278179122,0.00017765969473701565,aaron-shikler-aaron-shikler-tutt-art-69.jpg,74,64,0.295166015625,0.9939759036144579,0.313232421875,1.0
22.253336,21.09677,0.00017614092309620988,0.0001797681691906348,0.00018118941025677612,0.00018571220993410353,0.0002056104907821625,0.00024223702786921355,aaron-shikler-aaron-shikler-tutt-art-87.jpg,55,64,0.313232421875,0.9939759036144579,0.32666015625,1.0
19.71227,22.792198,0.0001799524491178718,0.00018140056967649791,0.00018288012707435653,0.00018448985516243587,0.0001894742705437313,0.00021406262652934612,aaron-shikler-clvucfswaaappaf.jpg,81,64,0.32666015625,0.9939759036144579,0.346435546875,1.0
