tsne_x,tsne_y,density_3,density_2,density_1_5,density_1,density_0_7,density_0_5,image_filename
-7.515091,5.701611,0.0001902417977037252,0.00019460451297971835,0.0001964894690887098,0.00020711698851870068,0.00024227412370934388,0.0003331281384492426,aaron-douglas-let-my-people-go.jpg
-40.437637,16.815731,0.00019183731427104247,0.00021713188696577708,0.00022785132535676112,0.0002367438356443948,0.00025080277259262155,0.00027768228570933744,aaron-douglas-untitled-4.png
-6.1979,5.2343507,0.00019920829414289473,0.00021075932264264473,0.0002175073594083182,0.0002231943773507718,0.00023652167526050334,0.00026573279505031836,aaron-douglas-untitled-5.png
-8.661395,6.062312,0.00018066287509571483,0.0001802627753702368,0.00017975818696405353,0.0001859095358827363,0.00021412544551775275,0.0002778616626731175,aaron-douglas-untitled-6.png
-8.34036,2.271024,0.00016756891521452758,0.00017192017457542591,0.00018038641104856977,0.00020364144302181594,0.0002319703247679355,0.0002446413917542761,aaron-douglas-untitled-7.png
-7.804013,1.5574121,0.00016788921350017368,0.0001682777469715794,0.00017447168798406435,0.0001978891082382577,0.0002667320938382604,0.0004089212416822792,aaron-douglas-untitled-8.png
-8.052657,1.6252158,0.00016632488146010578,0.00016753762955616907,0.00017456309061956313,0.00020030151492353963,0.000280248414608023,0.00045081687392774976,aaron-douglas-untitled-9.png
-7.9614305,1.4101157,0.00016588467745110103,0.00016570221720116089,0.00017175768512868022,0.00019502616833847673,0.00026643815362161513,0.00041155660381659274,aaron-douglas-untitled2-1.png
-8.795503,6.1273026,0.0001795559141931815,0.00017865882267625066,0.00017780134386832032,0.00018253276398075014,0.00020738824530300127,0.0002712334279289925,aaron-douglas-untitled2-2.png
-8.176321,1.6741027,0.00016562654766601477,0.00016725764259125104,0.00017455100772659096,0.00020017189096374014,0.00027852380389602774,0.0004421733099949573,aaron-douglas-untitled2-3.png
-32.82035,-14.496827,7.378964384496994e-05,7.421384916180683e-05,7.672532766990661e-05,9.395346830627733e-05,0.00014560425490462914,0.00023484075787703155,aaron-douglas-untitled2-4.png
-33.663574,9.872204,0.00012108119458807534,0.00011394979931568049,0.00011199956824314801,0.00012085890147783537,0.00015115242288192917,0.00019384491757386632,aaron-douglas-untitled2-5.png
-31.006758,9.562524,9.93591696807658e-05,8.538718470014067e-05,7.380854933908596e-05,5.6773694495621216e-05,4.753054634444925e-05,6.56917295932581e-05,aaron-douglas-untitled2.png
-7.913102,1.751664,0.0001681033156074315,0.00016979693526834172,0.0001769453647190521,0.00020250112927076936,0.00027543414818653034,0.00042629499842183536,aaron-douglas-untitled3-1.png
-32.82159,-14.398213,7.438404600878567e-05,7.473094856005912e-05,7.747862865928135e-05,9.627541651428584e-05,0.00015139477025482366,0.00024478688903420886,aaron-douglas-untitled3-2.png
-8.354098,3.6273072,0.00017440996966634458,0.00018121794267403376,0.00018856402608734084,0.00020687153030944926,0.0002575696229087789,0.00036302725085021097,aaron-douglas-untitled3.png
-8.119751,1.7411373,0.00016642959900962164,0.00016834864294619685,0.00017581438760283041,0.0002020554800783049,0.0002796104274324031,0.0004405442632108488,aaron-douglas-untitled4.png
0.8810376,5.9770274,0.00020259653831386862,0.00019715728665102903,0.00018976990869285908,0.00017836073306428762,0.00017141685603652422,0.0001720566610990922,aaron-shikler-8427197235-ec6870a000-o.png
12.312383,-10.360435,0.00018498975745589246,0.00018652797967896184,0.00018813836267161596,0.0001923805720981487,0.00021171847352240792,0.0002732758972267411,aaron-shikler-aaron-shikler-tutt-art-49.jpg
3.206393,13.655968,0.00018216734306082717,0.00017500247785256918,0.00017828912940550136,0.00019569343564483258,0.00020941794954664822,0.00022789266900284316,aaron-shikler-aaron-shikler-tutt-art-69.jpg
13.534544,24.66544,0.00017711153198821396,0.0001712669296727601,0.00016864085013625448,0.00017230559808793016,0.00019135022868289653,0.00022145820875197283,aaron-shikler-aaron-shikler-tutt-art-87.jpg
22.219263,25.120987,0.00015731854322626818,0.00015595513115980233,0.00015541451354239276,0.00015695420600575271,0.00016978963085896435,0.00019551513356239856,aaron-shikler-clvucfswaaappaf.jpg
26.120089,20.13902,0.0001343068576513797,0.00014321500315614614,0.00014934564052864938,0.0001588801928458225,0.00019077169760995245,0.00027172535755432735,aaron-shikler-eb30262388096016846801124f73caa5.jpg
13.833708,36.644547,0.00014722256006655872,0.000159792030167174,0.00017211975026629937,0.0001962160996171418,0.0002371507660323498,0.00031844134945485474,aaron-shikler-john-f-kennedy-official-portrait.jpg
22.160242,30.95656,0.00017006536086736817,0.00018107468139121996,0.000183618409611602,0.00018627738800983348,0.0001889974694521549,0.00020681992343765882,aaron-shikler-lady-bird-johnson-portrait-by-shikler-1978.jpg
14.434034,35.545303,0.00016841109030515006,0.00017724738764326818,0.00018140099098704055,0.00018799796918685634,0.0001830500830376875,0.0001635145657956183,aaron-shikler-rreagenpic.jpg
42.156586,-5.897203,0.00012125207696164968,0.00011290263291202231,0.00010728138738668015,0.00010011967703643776,0.00010036925683743842,0.00012128604676882237,aaron-shikler-s-1132.jpg
10.038887,18.778513,0.0001810221223961948,0.00019132814837233633,0.00021091047256140678,0.000271816814261097,0.00036179429239835805,0.0004667752854444221,aaron-shikler-s-1134.jpg
-37.691036,-14.049523,0.00013214478243807272,0.0001547935128874058,0.00017269179916835475,0.0002019573920999423,0.0002327296028431702,0.0002731469181613836,aaron-siskind-acolman-1-1955.jpg
-43.441086,5.376641,0.00024361305724297886,0.0002767906439199897,0.0003060168110355958,0.00035369568317433146,0.0004201326692599602,0.0005483074469010297,aaron-siskind-chicago-1951.jpg
