tsne_x,tsne_y,tsne_z,image_filename
-18.54739,-27.04449,0.078410074,abbas-kiarostami-snow-white-02.jpg
-9.695201,-25.247328,11.734135,abbas-kiarostami-snow-white-03.jpg
1.912392,-18.201307,25.234594,abbas-kiarostami-snow-white-05.jpg
-24.04388,-14.391091,-5.210385,abbas-kiarostami-snow-white-07.jpg
-13.9221115,-3.2759693,-5.992651,abbas-kiarostami-snow-white-08-1.jpg
1.7013061,-23.055967,4.88806,abbas-kiarostami-snow-white-09.jpg
-13.115393,-26.565468,9.249738,abbas-kiarostami-snow-white-10.jpg
-22.625092,-25.858284,1.4309857,abbas-kiarostami-snow-white-11.jpg
-21.77828,-23.918087,5.1911664,abbas-kiarostami-snow-white-12-1.jpg
-17.584427,-13.4130745,-10.86609,abbas-kiarostami-snow-white-13.jpg
-7.2954745,-14.7401085,1.1655447,abbas-kiarostami-snow-white-14.jpg
-4.21208,10.669873,-1.5120975,abbas-kiarostami-snow-white-15.jpg
-17.622854,-30.637535,13.230383,abbas-kiarostami-snow-white-16.jpg
-21.461536,-25.8364,13.994069,abbas-kiarostami-snow-white-17.jpg
-19.229689,-30.873085,17.306446,abbas-kiarostami-source-figure1.jpg
7.9407496,9.115241,-4.1608667,abbas-kiarostami-the-road-01-1.jpg
3.355206,-7.440105,5.6156077,abbas-kiarostami-the-road-02.jpg
-27.167217,-2.7103856,18.112745,abbas-kiarostami-the-wall-01.jpg
-16.10967,6.045835,16.05853,abbas-kiarostami-the-wall-02.jpg
-16.357447,8.650788,18.995867,abbas-kiarostami-the-wall-03.jpg
-21.739212,-14.7704315,7.2914934,abbas-kiarostami-the-wall-04-cmyk-1.jpg
35.10524,1.409377,9.221284,abbas-kiarostami-the-wall-05.jpg
24.123945,-6.486219,21.459396,abbas-kiarostami-the-wall-07.jpg
33.11654,2.7373838,13.629657,abbas-kiarostami-the-wall-19-0.jpg
4.3048105,-16.16578,11.314198,abbas-kiarostami-the-wall-38.jpg
18.157412,-3.8607843,4.935348,abbas-kiarostami-the-wall-42.jpg
8.156784,-3.731302,21.06071,abbas-kiarostami-trees-and-crows-02.jpg
9.450695,-5.2362103,22.721622,abbas-kiarostami-trees-and-crows-03.jpg
9.22277,-5.633596,23.489809,abbas-kiarostami-trees-and-crows-04.jpg
0.022404278,-27.4634,-2.443789,abbas-kiarostami-trees-and-crows.jpg
0.5604084,-1.4488044,-16.408989,abbott-handerson-thayer-9b52730651fb3fdc328f4fb6929bbfb9.jpg
-7.5142,19.988558,-8.408657,abbott-handerson-thayer-a-bride-1895.jpg
9.585462,7.5803075,-6.6325183,abbott-handerson-thayer-a-study-of-an-old-woman-1890.jpg
19.302261,20.670584,-26.48264,abbott-handerson-thayer-a-virgin-study-1891.jpg
-17.952375,18.922869,-9.551025,abbott-handerson-thayer-a-winged-figure-1904.jpg
22.32218,6.3199816,14.088069,abbott-handerson-thayer-abbott-handerson-thayer-angel.jpg
8.2760105,19.516142,-10.380144,abbott-handerson-thayer-an-angel-1893.jpg
20.414808,14.540815,-31.166359,abbott-handerson-thayer-angel-1903.jpg
10.154377,27.22333,-32.56084,abbott-handerson-thayer-angel-seated-on-a-rock-1899.jpg
22.070007,15.7251,-14.258343,abbott-handerson-thayer-at-the-market-place-paris-1875.jpg
28.658995,-12.9847355,5.7324867,abbott-handerson-thayer-autumn-landscape-1866.jpg
4.0880513,-29.157713,-8.536521,abbott-handerson-thayer-azores.jpg
-2.1297154,-36.869358,-20.060638,abbott-handerson-thayer-below-mount-monadnock-1913.jpg
-0.55217135,-1.2211559,9.983273,abbott-handerson-thayer-blue-jays-in-winter-1909.jpg
2.8641481,14.097483,-31.541546,abbott-handerson-thayer-blue-ribbon.jpg
8.971646,4.318466,-11.929724,abbott-handerson-thayer-boy-and-angel.jpg
-12.09613,-11.8152685,-29.94676,abbott-handerson-thayer-brother-and-sister-1889.jpg
-2.0714862,-11.990863,-9.202205,abbott-handerson-thayer-capri-1901.jpg
9.287035,20.316898,-11.8153925,abbott-handerson-thayer-caritas-1895.jpg
-2.1960087,-4.6161404,-18.25757,abbott-handerson-thayer-chadwick-s-dog-1874.jpg
31.542744,9.077875,0.2639383,abbott-handerson-thayer-copperhead-snake-on-dead-leaves-1915.jpg
24.327347,-17.180923,-12.752787,abbott-handerson-thayer-cornish-headlands-1898.jpg
1.4483004,-25.008764,-0.46443343,abbott-handerson-thayer-dublin-pond-new-hampshire-1894.jpg
16.632784,-2.628867,-5.2986465,abbott-handerson-thayer-flower-studies-1886.jpg
-2.5550792,-2.8147697,-9.422453,abbott-handerson-thayer-frog-1915.jpg
8.447155,8.013567,-30.21845,abbott-handerson-thayer-girl-arranging-her-hair-1919.jpg
-5.240905,6.870067,-30.304373,abbott-handerson-thayer-girl-in-fur-hood-also-known-as-head-of-a-woman-with-fur-lined-hood-1908.jpg
-2.0337088,8.948805,-38.212284,abbott-handerson-thayer-girl-in-white-also-known-as-margaret-greene-1888.jpg
2.3853495,10.185398,-28.989727,abbott-handerson-thayer-gladys-detail-1915.jpg
14.248123,5.768122,-10.044506,abbott-handerson-thayer-half-draped-figure-1885.jpg
-2.7645712,20.016996,-23.625988,abbott-handerson-thayer-harry-whiting-nephew-of-the-artist-study-1905.jpg
21.276031,11.837945,-33.93213,abbott-handerson-thayer-head-of-a-boy-recto-1919.jpg
-4.579175,2.305903,-33.558994,abbott-handerson-thayer-head-of-a-girl-verso-1919.jpg
-6.0773134,2.1352396,-17.83292,abbott-handerson-thayer-jessie-jay-burge-1880.jpg
-0.29100075,-12.54303,11.029478,abbott-handerson-thayer-landscape-at-fontainebleau-forest-1876.jpg
-3.1141567,13.461016,-6.904466,abbott-handerson-thayer-lion-at-rest.jpg
10.082984,-8.53163,4.6490145,abbott-handerson-thayer-male-wood-duck-in-a-forest-pool-1909.jpg
0.93092805,11.7184105,-28.252918,abbott-handerson-thayer-margaret-mackittrick-1903.jpg
-9.503178,0.5367938,-23.353592,abbott-handerson-thayer-meditation-1903.jpg
18.92685,6.905603,-6.9296427,abbott-handerson-thayer-minerva-in-a-chariot-1894.jpg
-1.594311,-37.24556,-20.397078,abbott-handerson-thayer-monadnock-1911.jpg
-4.70423,-35.446373,-18.33152,abbott-handerson-thayer-monadnock-1917.jpg
16.035933,27.223946,-29.945234,abbott-handerson-thayer-monadnock-angel-1921.jpg
-6.157124,-35.58761,-16.94167,abbott-handerson-thayer-monadnock-in-winter-1904.jpg
-6.943888,-35.678757,-16.202742,abbott-handerson-thayer-monadnock-no-2-1912.jpg
-3.8472939,-35.279163,-19.159872,abbott-handerson-thayer-monadnock-winter-sunrise-1919.jpg
-38.15726,9.528451,-10.742774,abbott-handerson-thayer-mother-and-child-1887.jpg
12.71874,-17.69712,-16.529411,abbott-handerson-thayer-mount-monadnock-1887.jpg
-5.21688,-35.492275,-17.846085,abbott-handerson-thayer-mount-monadnock-1914.jpg
17.69754,1.3534999,3.679802,abbott-handerson-thayer-my-children-1897.jpg
16.041796,27.227276,-29.944613,abbott-handerson-thayer-noon-1921.jpg
5.247638,8.256388,-9.380465,abbott-handerson-thayer-oil-sketch-of-a-young-boy.jpg
9.592342,-16.760307,-12.778778,abbott-handerson-thayer-peacock-in-the-woods-1907.jpg
-1.9293286,10.975715,-27.551384,abbott-handerson-thayer-pensive-model.jpg
-13.342717,-4.4832244,-33.554657,abbott-handerson-thayer-portrait-of-a-lady-1902.jpg
-9.49448,12.856896,-19.749504,abbott-handerson-thayer-portrait-of-a-woman-1888.jpg
-12.05973,32.77626,-1.2369142,abbott-handerson-thayer-portrait-of-a-woman-1898.jpg
-10.601733,33.379543,-7.24665,abbott-handerson-thayer-portrait-of-alice-rich-1917.jpg
-6.158281,9.883964,-34.044567,abbott-handerson-thayer-portrait-of-bessie-price-1897.jpg
11.563633,14.671662,-0.025104273,abbott-handerson-thayer-red-flamingoes-1909.jpg
12.337903,-28.170574,-4.411524,abbott-handerson-thayer-road-at-nantucket-1881.jpg
27.242664,10.343781,1.6202997,abbott-handerson-thayer-roseate-spoonbills-1909.jpg
30.694582,-15.461972,-14.808603,abbott-handerson-thayer-roses-1890.jpg
6.192736,23.551338,-13.187239,abbott-handerson-thayer-seated-angel-1921.jpg
0.7840518,11.74213,-25.518942,abbott-handerson-thayer-self-portrait-1918.jpg
11.73828,8.538847,-22.66434,abbott-handerson-thayer-sleep-1887.jpg
22.419731,-8.945408,-9.957523,abbott-handerson-thayer-spring-hillside-1889.jpg
5.6020494,11.488519,-14.941825,abbott-handerson-thayer-still-life-game-1890.jpg
6.8067074,-4.4048433,-37.71112,abbott-handerson-thayer-still-life-with-rhododendron-1886.jpg
-6.2447276,8.1320505,-34.01177,abbott-handerson-thayer-study-of-alma-wollerman-1908.jpg
6.6105785,-20.300634,1.7648325,abbott-handerson-thayer-sunset-1909.jpg
20.29187,22.064941,-25.866367,abbott-handerson-thayer-thayer-a-virgin.jpg
-10.492805,33.196606,-0.89232194,abbott-handerson-thayer-the-angel-1903.jpg
4.7332892,-11.170233,-33.77874,abbott-handerson-thayer-the-favorite-kitten.jpg
28.309126,9.139224,-6.529967,abbott-handerson-thayer-the-garden-1884.jpg
-8.512946,-16.724281,-5.147524,abbott-handerson-thayer-the-sky-simulated-by-red-flamingoes-1909.jpg
6.114431,-13.635729,-1.2589788,abbott-handerson-thayer-the-sky-simulated-by-white-flamingoes-1909.jpg
-6.4122515,-11.776886,-14.554108,abbott-handerson-thayer-tiger-s-head-1874.jpg
-0.4030167,-4.3732867,-4.0000396,abbott-handerson-thayer-tomb-of-verona.jpg
35.646877,12.712324,2.891435,abbott-handerson-thayer-townsend-bradley-martin-1919.jpg
19.833508,-0.47944108,20.61151,abbott-handerson-thayer-view-to-monadnock.jpg
23.725523,-39.65277,-7.7789497,abbott-handerson-thayer-village-street-dominica.jpg
-1.2582256,-13.577493,-27.030878,abbott-handerson-thayer-virgin-enthroned-1891.jpg
16.941002,-0.82337135,-3.522825,abbott-handerson-thayer-water-lilies.jpg
-9.94217,-7.4713907,28.286278,abbott-handerson-thayer-waterlilies-1884.jpg
10.886374,10.667012,-1.4454639,abbott-handerson-thayer-white-flamingoes-1909.jpg
4.300132,10.402094,-30.421577,abbott-handerson-thayer-william-michael-spartali-stillman-1905.jpg
11.523402,26.338448,-18.113638,abbott-handerson-thayer-winged-figure-1889-1.jpg
-23.45719,3.8501077,-14.076838,abbott-handerson-thayer-winged-figure-seated-upon-a-rock-1903.jpg
10.155435,27.222855,-32.55981,abbott-handerson-thayer-winged-figure-seated-upon-a-rock.jpg
0.514273,-23.10431,15.284392,abbott-handerson-thayer-winter-landscape-1902.jpg
19.193666,2.1364994,12.911671,abbott-handerson-thayer-winter-monadnock-1900.jpg
-27.525389,-1.0387384,-8.799076,abdul-mati-klarwein-1310080930v20-virgin-mary.jpg
-2.8006675,26.65243,-26.49457,abdul-mati-klarwein-1310089110v21bitches-brew.jpg
28.237085,-7.65254,-18.530096,abdul-mati-klarwein-1310089693v27-grandfather-1.jpg
6.0482,14.235058,13.78838,abdul-mati-klarwein-1310129258p05-vol2-46-1.jpg
19.360126,11.179216,23.926142,abdul-mati-klarwein-alexander-s-dream-1980-1.jpg
27.20106,16.982754,-5.5251446,abdul-mati-klarwein-annunciation-1961.jpg
-6.7298226,14.772196,26.139456,abdul-mati-klarwein-aranyanyara-1983-1.jpg
8.860102,13.149175,11.05672,abdul-mati-klarwein-astral-body-asleep-1968.jpg
13.6185255,26.061365,1.9264287,abdul-mati-klarwein-astral-body-awake-1969.jpg
-1.892343,-1.2763127,12.370952,abdul-mati-klarwein-baron-alexis-de-rede-1959.jpg
-16.474182,-2.0799704,-26.77124,abdul-mati-klarwein-baron-edmond-de-rothschild-ii-1963.jpg
-18.250118,15.05861,6.023244,abdul-mati-klarwein-baron-kurt-bergstrom-and-princess-fahda-1979.jpg
24.846264,4.077266,-10.212522,abdul-mati-klarwein-baroness-helen-von-buren-1980.jpg
-1.0426831,23.490135,-34.906315,abdul-mati-klarwein-bavarian-angel-1970.jpg
-12.328572,-7.1853952,16.578854,abdul-mati-klarwein-blessing-1965.jpg
-24.441093,0.98722255,-3.1611664,abdul-mati-klarwein-brazilian-angel-1967.jpg
18.52611,10.482656,-0.5132146,abdul-mati-klarwein-bunny-mellon-1964.jpg
33.602245,2.8554657,4.5927753,abdul-mati-klarwein-camouflage-aka-nowstalgia-1987-1.jpg
-14.270124,19.404924,-13.034206,abdul-mati-klarwein-carmen-kaplan-1967.jpg
18.781946,8.88943,-17.890587,abdul-mati-klarwein-chez-sphinx-1973.jpg
14.0196495,-2.3399584,14.639889,abdul-mati-klarwein-coastline-1981-1.jpg
-30.57298,-0.49197212,-11.569389,abdul-mati-klarwein-conceptual-tree-1.jpg
-20.74647,12.812992,25.894684,abdul-mati-klarwein-crucifixion-1965.jpg
-24.632467,15.44603,8.4819355,abdul-mati-klarwein-dakar-angel-1964.jpg
31.809439,10.909247,2.696878,abdul-mati-klarwein-dead-see-1960-1.jpg
-22.028538,-12.918443,-13.750348,abdul-mati-klarwein-donyale-luna-1967.jpg
1.7034032,1.3115348,3.5389264,abdul-mati-klarwein-drue-heinz-1961.jpg
-1.384984,23.127205,21.45322,abdul-mati-klarwein-earth-wind-and-fire-last-days-and-time-1972.jpg
-16.111303,-9.29121,19.706022,abdul-mati-klarwein-eric-dolphy-iron-man-1963.jpg
-17.626352,32.65646,2.3693032,abdul-mati-klarwein-evil-1972.jpg
-21.797586,-18.22225,-11.591026,abdul-mati-klarwein-fayoum-aka-fayoum-ruins-1980-1.jpg
8.34232,5.7401094,-5.770725,abdul-mati-klarwein-geraldine-chaplin-c1955.jpg
10.034512,9.691579,-1.6839308,abdul-mati-klarwein-godmother-1973.jpg
-30.500948,5.4057817,-12.218263,abdul-mati-klarwein-grain-of-sand-1965.jpg
28.861063,0.15408342,2.8815224,abdul-mati-klarwein-great-pyramid-1977-1.jpg
-31.469677,-2.157672,4.5846934,abdul-mati-klarwein-gregg-allman-laid-back-1973.jpg
-19.385895,7.514103,11.900196,abdul-mati-klarwein-howard-wales-jerry-garcia-hooteroll-1971.jpg
-1.7211105,-39.048996,-5.598126,abdul-mati-klarwein-indian-summer-1957-1.jpg
20.20546,12.4685135,5.642883,abdul-mati-klarwein-jimi-hendrix-1970.jpg
-16.702785,-4.490984,23.938478,abdul-mati-klarwein-joe-beck-beck-1975.jpg
4.4189,-35.412666,4.5103917,abdul-mati-klarwein-john-fitzergerald-kennedy-1964.jpg
-4.9925213,17.805735,1.5538791,abdul-mati-klarwein-john-fitzgerald-kennedy-1964-1.jpg
-13.652992,-5.3561764,-14.87024,abdul-mati-klarwein-john-fitzgerald-kennedy-1964.jpg
1.7439076,-3.8888085,-18.905336,abdul-mati-klarwein-kenneth-batelle-1962.jpg
-0.3379217,-14.903557,3.9383385,abdul-mati-klarwein-landing-strip-1984-1.jpg
38.728992,10.473066,4.806655,abdul-mati-klarwein-landscape-described-1963-1.jpg
29.674162,2.1208313,5.182823,abdul-mati-klarwein-landscape-perceived-1963-1.jpg
26.377398,-8.221916,-12.397791,abdul-mati-klarwein-leh-c-est-beau-aka-landmark-1976-1.jpg
-25.7789,-14.357412,-15.509131,abdul-mati-klarwein-leonard-bernstein-1964.jpg
-26.308626,4.7529716,21.64671,abdul-mati-klarwein-leonard-bernstein-age-of-anxiety-1965.jpg
-0.712457,-9.990266,-5.7363024,abdul-mati-klarwein-lover-s-leap-1985-1.jpg
-26.172756,2.0348792,31.555935,abdul-mati-klarwein-miles-davis-live-evil-1971.jpg
11.163819,-15.21838,-14.270682,abdul-mati-klarwein-milkscape-1983-1.jpg
38.861423,-0.4688588,-23.035444,abdul-mati-klarwein-moses-and-aaron-1971.jpg
5.420573,1.0044961,-7.1436934,abdul-mati-klarwein-n-el-coward-1958.jpg
9.622353,20.544327,5.267318,abdul-mati-klarwein-nativity-1961.jpg
-2.1705575,15.208928,-26.242882,abdul-mati-klarwein-new-york-angel-1965.jpg
-13.407018,-2.075349,26.433296,abdul-mati-klarwein-osibisa-heads-1972.jpg
21.799074,6.9929733,3.0966609,abdul-mati-klarwein-outline-1984-1.jpg
41.64211,-8.011648,-15.077769,abdul-mati-klarwein-peter-and-nancy-huang-1975.jpg
-10.3975725,9.226947,-24.12647,abdul-mati-klarwein-robert-graves-1958.jpg
-8.547503,32.25411,26.081236,abdul-mati-klarwein-santana-abraxas-1970.jpg
-11.568442,26.300451,-28.605864,abdul-mati-klarwein-self-d-rer-aka-self-portrait-d-rer-1957.jpg
-12.187785,-3.8648982,35.07986,abdul-mati-klarwein-soundscape-1982-1.jpg
-27.321423,-29.726704,2.2082012,abdul-mati-klarwein-stairway-to-heaven-1980-1.jpg
-28.807632,-0.29793352,-10.660088,abdul-mati-klarwein-sun-oon-c1970.jpg
7.2547874,-4.2710137,-14.566812,abdul-mati-klarwein-susie-berns-aka-susan-wolf-1971.jpg
17.497923,-4.50112,-11.129074,abdul-mati-klarwein-symbole-du-jour-1984-1.jpg
-30.441296,5.3690324,-12.204764,abdul-mati-klarwein-the-chamber-brothers-new-generation-1970.jpg
8.420187,15.779761,-8.074259,abdul-mati-klarwein-the-last-poets-holy-terror-1993.jpg
19.800411,18.767294,-2.6356654,abdul-mati-klarwein-the-last-poets-this-is-madness-1971.jpg
-16.650879,24.883814,13.844613,abdul-mati-klarwein-the-mooney-suzuki-alive-amplified-2004.jpg
3.6227534,21.735758,-12.425773,abdul-mati-klarwein-time-1965.jpg
-26.600698,-34.651264,-6.011593,abdul-mati-klarwein-timeless-1968.jpg
23.46339,20.397518,9.707426,abdul-mati-klarwein-walking-on-water-1961.jpg
-20.442636,8.220028,22.787207,abdul-mati-klarwein-wet-curve-1981-1.jpg
35.31447,23.299377,12.480405,abdul-mati-klarwein-you-re-next-1979-1.jpg
-3.1731699,-16.119604,-14.790923,abdul-qader-al-raes-alha-a-2011.jpg
10.52212,-5.636092,28.762402,abdul-qader-al-raes-bishra-announcement.jpg
-8.25889,8.613393,12.108601,abdul-qader-al-raes-calligraphy.jpg
-9.734887,6.367194,14.53416,abdul-qader-al-raes-huwa-2008.jpg
0.76813376,8.642723,10.909292,abdul-qader-al-raes-the-palm-mother-2008.jpg
-19.169285,2.0889852,29.750418,abdul-qader-al-raes-unknown-title-1.jpg
-25.85198,-12.664904,10.523776,abdul-qader-al-raes-unknown-title.jpg
24.260853,-5.7286158,-21.42388,abdul-qader-al-raes-untitled-1995.jpg
4.771871,-12.623425,-13.735021,abdul-qader-al-raes-untitled-1998.jpg
-3.0531902,-17.863468,-28.73268,abdul-qader-al-raes-untitled-aqar-10-12.jpg
-3.2655947,-17.176697,-29.63677,abdul-qader-al-raes-untitled-aqar-6-12.jpg
-3.5359128,9.235145,23.01858,abdul-qader-al-raes-untitled-aqar-7-12.jpg
-8.904247,1.2109437,22.287886,abdul-qader-al-raes-untitled-aqar-8-12.jpg
-2.7597847,-18.821863,-27.206139,abdul-qader-al-raes-untitled-aqar-9-12.jpg
-10.996486,5.4467473,15.228782,abdul-qader-al-raes-untitled-from-the-waw-series-2007.jpg
10.7395115,-4.995366,-10.213401,abdul-qader-al-raes-untitled.jpg
-37.761948,-1.084525,13.095345,abdul-qader-al-raes-yesteryear.jpg
12.574052,-5.131189,7.0712247,abdullah-suriosubroto-air-terjun.jpg
16.66332,-1.6662375,5.114831,abdullah-suriosubroto-bamboo-forest.jpg
6.512804,-34.059937,3.7863405,abdullah-suriosubroto-indonesian-landscape-1.jpg
